City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Monteagudo,BO,-19.8167,-63.9833,60.17,80,2,2.82,clear sky
309,Grand Gaube,MU,-20.0064,57.6608,74.37,66,5,7.0,clear sky
310,Mabaruma,GY,8.2,-59.7833,72.97,97,100,1.61,overcast clouds
311,Yanam,IN,16.7333,82.2167,91.87,54,99,7.52,overcast clouds
312,Panzhihua,CN,26.5851,101.7128,85.95,56,97,0.92,overcast clouds
313,Sabratah,LY,32.7933,12.4885,82.45,44,0,2.75,clear sky
314,Bonavista,CA,48.6499,-53.1147,63.01,92,56,9.82,broken clouds
315,Liepaja,LV,56.5419,21.0367,66.18,82,75,9.22,broken clouds
316,Lima,PE,-12.0432,-77.0282,57.9,87,40,5.75,scattered clouds
317,Stephenville,US,32.2207,-98.2023,87.82,44,40,8.05,scattered clouds
318,Labuhan,ID,-6.8844,112.2051,84.42,56,32,8.97,scattered clouds
319,Ancud,CL,-41.8697,-73.8203,44.22,91,99,10.25,overcast clouds
320,Paraiso,CR,9.8383,-83.8656,64.89,100,85,2.57,overcast clouds
321,Kailua,US,21.4022,-157.7394,80.58,72,20,13.8,few clouds
322,Den Helder,NL,52.9599,4.7593,72.97,75,100,13.0,overcast clouds
323,Ormara,PK,25.2088,64.6357,80.02,91,100,12.39,heavy intensity rain
324,Poum,NC,-20.2333,164.0167,74.95,68,0,17.4,clear sky
325,Salalah,OM,17.0151,54.0924,75.29,100,100,9.22,light intensity drizzle
326,Aklavik,CA,68.2191,-135.0107,55.85,68,36,6.17,scattered clouds
327,Meoqui,MX,28.2833,-105.4833,72.77,67,95,14.81,overcast clouds
328,Bubaque,GW,11.2833,-15.8333,78.69,82,98,6.15,overcast clouds
329,Birjand,IR,32.8663,59.2211,99.07,11,0,4.61,clear sky
330,Palmer,US,42.1584,-72.3287,79.97,71,75,8.05,broken clouds
331,General Jose Eduvigis Diaz,PY,-27.1667,-58.4167,74.08,59,67,8.01,broken clouds
332,San Jose,US,37.3394,-121.895,63.59,81,20,6.91,few clouds
333,Edgewater,US,28.9889,-80.9023,80.1,82,8,7.38,clear sky
334,Marsh Harbour,BS,26.5412,-77.0636,82.36,74,12,16.46,few clouds
335,Beringovskiy,RU,63.05,179.3167,45.09,75,97,11.56,overcast clouds
336,Macheng,CN,31.1783,115.0319,95.29,58,53,9.8,broken clouds
337,Verkhniy Rohachyk,UA,47.2505,34.338,77.04,45,100,7.4,overcast clouds
338,Luderitz,NA,-26.6481,15.1594,59.58,62,0,7.72,clear sky
339,San Luis,AR,-33.295,-66.3356,57.06,85,75,3.96,broken clouds
340,Alice Springs,AU,-23.7,133.8833,69.35,32,0,11.5,clear sky
341,Clarence Town,AU,-32.5833,151.7833,65.14,73,69,0.65,broken clouds
